Entity,Average Death Rate,GDP Per Capita ($) 
Afghanistan,6.136984717,355
Albania,4.335420736,6678
Algeria,2.650682788,4220
Andorra,9.26311424,42055
Angola,13.17697167,2995
Antigua and Barbuda,0.547440556,18932
Antarctica,0,0
Argentina,8.698934,13935
Armenia,4.263848865,6770
Australia,11.41431357,63945
Austria,11.0214973,52004
Azerbaijan,2.626241464,7646
Bahamas,3.3079894,32443
Bahrain,5.2512645,28948
Bangladesh,3.445223,2717
Barbados,3.647522,19970
Belarus,23.277428,7935
Belgium,15.054003,49700
Belize,6.601426,7012
Benin,12.323091,1265
Bhutan,5.594751,14033
Bolivia,6.390249,3566
Bosnia and Herz.,7.721008,7653
Botswana,14.672263,8341
Brazil,5.503094,9130
Brunei,1.856472,36633
Bulgaria,8.036361,13045
Burkina Faso,16.235189,839
Burundi,15.444424,231
Cambodia,5.434388,1741
Cameroon,13.785832,1605
Canada,10.801882,55120
Cape Verde,17.469745,3754
Central African Rep.,20.823155,465
Chad,11.16734,688
Chile,9.329799,15395
China,10.450783,12604
Colombia,4.581164,6648
Comoros,9.684779,1489
Congo,14.148899,2422
Cook Islands,10.572161,15100
Costa Rica,6.53542,13456
Côte d'Ivoire,13.173759,2304
Croatia,11.181456,18163
Cuba,10.210375,56495
Cyprus,3.453527,21361
Czechia,11.295642,27257
Dem. Rep. Congo,14.860633,567
Denmark,10.491338,66985
Djibouti,9.825897,3136
Dominican Rep.,5.464468,10119
Timor-Leste,4.2383752,2310
Ecuador,8.0560193,6455
Egypt,1.021715,4233
El Salvador,8.775129,5173
Eq. Guinea,10.259672,6550
Eritrea,21.265679,643
Estonia,16.288794,28221
eSwatini,30.659194,3982
Ethiopia,10.128043,1011
Fiji,10.06345323,5376
Finland,15.07953727,50424
France,12.42975309,41989
Gabon,12.3633539,8669
Gambia,8.72421508,862
Georgia,3.43207456,6484
Germany,9.01976671,48429
Ghana,8.22602922,2197
Greece,3.3900488,21039
Greenland,14.647967274,57116
Grenada,1.17967274,10747
Guatemala,7.50766249,5323
Guinea,8.06603426,1510
Guinea-Bissau,12.16743081,776
Guyana,33.35400411,18691
Haiti, 9.776357,1761
Honduras, 5.246462,3031
Hungary, 17.719298,18462
Iceland, 11.063427,73199
India, 15.485083,2375
Indonesia, 1.828548,4731
Iran, 4.426007,4340
Iraq, 4.394758,5995
Ireland, 10.071516,103570
Israel, 5.144296,57346
Italy, 5.044681,33721
Jamaica, 1.481338,6022
Japan, 16.067713,33850
Jordan, 1.217964,4216
Kazakhstan,27.8298,11012
Kenya,10.1691,2091
Kiribati,20.5385,1712
Kosovo, 13.9092,7122
Kuwait,2.3921,40213
Kyrgyzstan,11.4728,1571
Laos,5.6996,2080
Latvia,18.1463,21878
Lebanon,0.8307,2500
Lesotho,30.2940,1117
Liberia,9.5461,745
Libya,5.1932,6334
Lithuania,30.7570,24969
Luxembourg,9.1781,125935
Macedonia, 13.909212,6591
Madagascar,10.173109,491
Malawi,12.929931,640
Malaysia,5.293372,11711
Maldives,2.814437,11810
Mali,8.222607,816
Malta,5.676127,33634
Marshall Islands,23.905465,6978
Mauritania,4.852924,2128
Mauritius,8.435835,10107
Mexico,5.426334,10996
Micronesia (country),23.207013,816
Moldova,15.672639,4744
Monaco,14.334048,240862
Mongolia,19.032643,4965
Montenegro,11.288175,9918
Morocco,3.872329,3595
Mozambique,17.327572,547
Myanmar,3.323158,1104
Namibia,12.379241,4363
Nauru,30.8425,11971
